SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,019,Maryland,Dorchester County,4,32583,15373,17210,1779,880,899,3417,1743,1674,1600,797,803,2179,1121,1058,26558,12337,14221,25787,11953,13834,10712,5050,5662,7364,3354,4010,8703,4103,4600,7541,3375,4166,1779,880,899,1888,975,913,1960,990,970,1770,895,875,1578,801,777,1771,808,963,2090,962,1128,1828,823,1005,1675,761,914,1668,769,899,1993,926,1067,2412,1174,1238,2630,1234,1396,2434,1162,1272,2002,897,1105,1474,667,807,884,386,498,747,263,484,44.9,43.6,45.8
050,24,019,Maryland,Dorchester County,5,32879,15521,17358,1786,864,922,3386,1748,1638,1611,808,803,2237,1131,1106,26888,12492,14396,26096,12101,13995,10999,5216,5783,7543,3472,4071,8556,4035,4521,7760,3463,4297,1786,864,922,1880,993,887,1898,950,948,1822,936,886,1634,808,826,1818,864,954,2137,987,1150,1900,836,1064,1688,785,903,1663,752,911,1948,898,1050,2319,1119,1200,2626,1266,1360,2514,1180,1334,2013,898,1115,1567,731,836,916,400,516,750,254,496,44.6,43.2,45.7
050,24,021,Maryland,Frederick County,1,271710,134681,137029,16046,8069,7977,32543,16700,15843,14980,7624,7356,22911,11580,11331,215579,106090,109489,208141,102288,105853,105414,53169,52245,71332,35911,35421,74054,36938,37116,39844,17859,21985,16046,8069,7977,17347,8885,8462,19005,9761,9244,18235,9218,9017,15847,8040,7807,15773,8031,7742,18204,9134,9070,19382,9693,9689,17973,9053,8920,17831,8950,8881,19382,9722,9660,20101,10058,10043,16740,8208,8532,13376,6386,6990,10610,5072,5538,6986,3080,3906,4299,1832,2467,4573,1489,3084,39.0,38.2,39.7
050,24,021,Maryland,Frederick County,2,272786,135259,137527,16123,8121,8002,32604,16730,15874,15089,7685,7404,22979,11611,11368,216438,106536,109902,208970,102723,106247,105976,53458,52518,71761,36133,35628,74047,36937,37110,40183,18042,22141,16123,8121,8002,17423,8919,8504,19034,9782,9252,18274,9242,9032,15941,8083,7858,15790,8045,7745,18207,9136,9071,19569,9782,9787,18195,9170,9025,17715,8892,8823,19365,9714,9651,20123,10068,10055,16844,8263,8581,13503,6463,7040,10753,5126,5627,7030,3102,3928,4345,1856,2489,4552,1495,3057,39.0,38.2,39.7
050,24,021,Maryland,Frederick County,3,280647,138986,141661,16554,8354,8200,33349,16985,16364,15614,7905,7709,23403,11791,11612,222746,109566,113180,215130,105742,109388,110185,55516,54669,75221,37892,37329,74511,37142,37369,41995,18917,23078,16554,8354,8200,18028,9113,8915,19374,9944,9430,18574,9353,9221,16390,8271,8119,16281,8244,8037,18844,9472,9372,20660,10345,10315,19436,9831,9605,17467,8776,8691,19552,9822,9730,20037,10005,10032,17455,8539,8916,13991,6734,7257,11414,5407,6007,7318,3252,4066,4653,1973,2680,4619,1551,3068,38.9,38.2,39.6
050,24,021,Maryland,Frederick County,4,287540,142251,145289,17132,8586,8546,34099,17278,16821,16106,8137,7969,23513,11839,11674,228052,112188,115864,220203,108250,111953,113437,57216,56221,77937,39313,38624,74894,37378,37516,43859,19720,24139,17132,8586,8546,18730,9391,9339,19488,9960,9528,19009,9586,9423,16491,8317,8174,16355,8291,8064,19252,9571,9681,21809,10992,10817,20521,10459,10062,17778,8908,8870,19408,9793,9615,19687,9832,9855,18021,8845,9176,14431,6900,7531,11509,5389,6120,8208,3729,4479,5030,2110,2920,4681,1592,3089,39.0,38.4,39.6
050,24,021,Maryland,Frederick County,5,293391,145060,148331,17384,8727,8657,34775,17577,17198,16404,8249,8155,23665,11859,11806,233081,114663,118418,224828,110507,114321,116122,58379,57743,80047,40288,39759,75292,37683,37609,45824,20677,25147,17384,8727,8657,19336,9682,9654,19433,9912,9521,19600,9769,9831,16475,8322,8153,16178,8139,8039,19727,9798,9929,22490,11246,11244,21652,11105,10547,18346,9260,9086,19215,9730,9485,19304,9673,9631,18427,9020,9407,14962,7171,7791,11822,5524,6298,8768,4038,4730,5421,2276,3145,4851,1668,3183,39.1,38.7,39.6
050,24,023,Maryland,Garrett County,1,28807,14336,14471,1364,685,679,2562,1300,1262,1320,710,610,2099,1116,983,24224,12003,12221,23561,11641,11920,9488,4894,4594,6386,3235,3151,8516,4195,4321,6560,3095,3465,1364,685,679,1380,692,688,1499,775,724,1598,871,727,1504,788,716,1663,836,827,1530,793,737,1557,762,795,1636,844,792,1807,866,941,1963,981,982,2312,1146,1166,2434,1202,1232,2080,1041,1039,1749,859,890,1225,596,629,776,360,416,730,239,491,47.1,45.7,48.1
050,24,023,Maryland,Garrett County,2,28798,14353,14445,1388,701,687,2544,1288,1256,1318,712,606,2096,1118,978,24216,12018,12198,23548,11652,11896,9480,4901,4579,6380,3238,3142,8483,4181,4302,6589,3115,3474,1388,701,687,1382,692,690,1476,763,713,1595,870,725,1505,793,712,1650,833,817,1541,798,743,1544,762,782,1645,845,800,1783,857,926,1957,976,981,2294,1139,1155,2449,1209,1240,2092,1048,1044,1752,863,889,1237,598,639,776,361,415,732,245,487,47.1,45.7,48.2
050,24,023,Maryland,Garrett County,3,28758,14333,14425,1345,685,660,2538,1274,1264,1295,697,598,2076,1113,963,24244,12035,12209,23580,11677,11903,9494,4904,4590,6433,3258,3175,8333,4110,4223,6738,3196,3542,1345,685,660,1403,693,710,1445,745,700,1566,848,718,1495,798,697,1615,826,789,1623,826,797,1521,764,757,1674,842,832,1680,819,861,1970,963,1007,2200,1108,1092,2483,1220,1263,2120,1061,1059,1826,893,933,1269,610,659,793,369,424,730,263,467,47.3,45.9,48.5
