SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,36,043,New York,Herkimer County,1,60144,29994,30150,3005,1556,1449,6379,3233,3146,3099,1568,1531,4652,2421,2231,49248,24439,24809,47661,23637,24024,20441,10427,10014,13441,6821,6620,16870,8477,8393,12698,5918,6780,3005,1556,1449,3357,1697,1660,3773,1919,1854,3786,1945,1841,3214,1661,1553,3482,1761,1721,3362,1713,1649,3396,1729,1667,3201,1618,1583,3563,1801,1762,3887,1950,1937,4778,2388,2390,4642,2338,2304,4128,2044,2084,3387,1682,1705,2231,1050,1181,1439,614,825,1513,528,985,44.2,43.1,45.3
050,36,043,New York,Herkimer County,2,60037,29946,30091,3008,1559,1449,6337,3210,3127,3090,1559,1531,4655,2424,2231,49183,24412,24771,47602,23618,23984,20426,10428,9998,13435,6828,6607,16781,8429,8352,12731,5937,6794,3008,1559,1449,3339,1686,1653,3752,1907,1845,3773,1935,1838,3218,1665,1553,3450,1748,1702,3374,1724,1650,3402,1731,1671,3209,1625,1584,3515,1775,1740,3870,1935,1935,4749,2381,2368,4647,2338,2309,4132,2044,2088,3425,1695,1730,2233,1059,1174,1432,609,823,1509,530,979,44.2,43.0,45.3
050,36,043,New York,Herkimer County,3,60023,29993,30030,3033,1585,1448,6240,3187,3053,3077,1528,1549,4713,2447,2266,49207,24449,24758,47673,23693,23980,20578,10492,10086,13572,6901,6671,16467,8288,8179,12921,6057,6864,3033,1585,1448,3291,1689,1602,3733,1882,1851,3734,1901,1833,3272,1690,1582,3387,1716,1671,3458,1784,1674,3404,1727,1677,3323,1674,1649,3375,1712,1663,3830,1912,1918,4581,2319,2262,4681,2345,2336,4122,2038,2084,3627,1793,1834,2263,1083,1180,1399,598,801,1510,545,965,44.0,42.9,45.1
050,36,043,New York,Herkimer County,4,59584,29811,29773,2964,1558,1406,6144,3182,2962,3101,1558,1543,4677,2431,2246,48910,24291,24619,47375,23513,23862,20541,10474,10067,13544,6878,6666,16042,8081,7961,13112,6123,6989,2964,1558,1406,3291,1721,1570,3634,1854,1780,3763,1904,1859,3234,1692,1542,3218,1630,1588,3459,1768,1691,3408,1725,1683,3459,1755,1704,3268,1647,1621,3753,1873,1880,4372,2210,2162,4649,2351,2298,4104,2017,2087,3633,1789,1844,2440,1173,1267,1453,617,836,1482,527,955,44.0,42.9,45.2
050,36,043,New York,Herkimer County,5,59484,29795,29689,2940,1555,1385,6067,3157,2910,3071,1555,1516,4667,2429,2238,48965,24316,24649,47406,23528,23878,20680,10545,10135,13673,6935,6738,15707,7902,7805,13359,6262,7097,2940,1555,1385,3301,1736,1565,3497,1795,1702,3744,1891,1853,3263,1719,1544,3224,1630,1594,3509,1796,1713,3411,1714,1697,3529,1795,1734,3215,1625,1590,3661,1834,1827,4189,2115,2074,4642,2328,2314,4129,2042,2087,3658,1796,1862,2572,1245,1327,1521,649,872,1479,530,949,44.0,42.9,45.2
050,36,045,New York,Jefferson County,1,116711,61476,55235,8696,4497,4199,13924,7096,6828,5381,2696,2685,14257,8942,5315,91370,48497,42873,88710,47187,41523,51094,29079,22015,32850,18162,14688,24975,12431,12544,16628,7652,8976,8696,4497,4199,7826,3976,3850,7492,3841,3651,6808,3656,3152,11436,7261,4175,10393,6107,4286,8532,4654,3878,7807,4166,3641,6118,3235,2883,5624,2858,2766,6115,3078,3037,6787,3336,3451,6449,3159,3290,5392,2606,2786,4554,2201,2353,3041,1445,1596,1784,772,1012,1857,628,1229,33.3,31.4,35.6
050,36,045,New York,Jefferson County,2,116069,61065,55004,8619,4459,4160,13871,7064,6807,5392,2707,2685,14133,8857,5276,90848,48148,42700,88187,46835,41352,50688,28796,21892,32558,17951,14607,24760,12318,12442,16736,7709,9027,8619,4459,4160,7808,3963,3845,7458,3820,3638,6855,3685,3170,11275,7160,4115,10262,6013,4249,8445,4604,3841,7748,4118,3630,6103,3216,2887,5524,2800,2724,6056,3043,3013,6731,3315,3416,6449,3160,3289,5425,2615,2810,4599,2222,2377,3061,1455,1606,1781,774,1007,1870,643,1227,33.4,31.5,35.6
050,36,045,New York,Jefferson County,3,116902,61694,55208,8527,4394,4133,13890,7088,6802,5471,2813,2658,14677,9281,5396,91668,48735,42933,89014,47399,41615,51741,29574,22167,33035,18235,14800,24187,11971,12216,17115,7912,9203,8527,4394,4133,7854,4050,3804,7478,3793,3685,6925,3773,3152,11781,7566,4215,10351,6089,4262,8541,4664,3877,7832,4142,3690,6311,3340,2971,5245,2643,2602,5919,2949,2970,6517,3222,3295,6506,3157,3349,5547,2651,2896,4754,2322,2432,3138,1486,1652,1845,815,1030,1831,638,1193,33.1,31.2,35.6
050,36,045,New York,Jefferson County,4,115461,60817,54644,8419,4402,4017,13728,7068,6660,5440,2822,2618,13904,8633,5271,90496,47897,42599,87874,46525,41349,50785,28815,21970,32882,18093,14789,23537,11676,11861,17551,8123,9428,8419,4402,4017,7827,4080,3747,7342,3721,3621,6799,3724,3075,11104,6998,4106,10178,5941,4237,8546,4663,3883,7729,4075,3654,6429,3414,3015,5137,2588,2549,5680,2843,2837,6250,3086,3164,6470,3159,3311,5720,2714,3006,4674,2279,2395,3439,1630,1809,1950,883,1067,1768,617,1151,33.4,31.5,35.9
050,36,045,New York,Jefferson County,5,114787,60466,54321,8366,4356,4010,13595,7006,6589,5546,2866,2680,13530,8439,5091,90001,47672,42329,87280,46238,41042,50490,28669,21821,32828,18063,14765,22979,11448,11531,17943,8288,9655,8366,4356,4010,7788,4029,3759,7221,3676,3545,6846,3777,3069,10816,6829,3987,9855,5731,4124,8804,4815,3989,7634,4050,3584,6535,3467,3068,5111,2621,2490,5449,2692,2757,6022,2993,3029,6397,3142,3255,5851,2774,3077,4692,2269,2423,3556,1686,1870,2100,947,1153,1744,612,1132,33.6,31.8,35.9
050,36,047,New York,Kings County,1,2736119,1304797,1431322,192331,98190,94141,307566,158207,149359,125819,63978,61841,211355,102601,108754,2172810,1016146,1156664,2110403,984422,1125981,1188901,578136,610765,883717,427772,455945,624619,291361,333258,390712,162688,228024,192331,98190,94141,176209,90594,85615,163347,83828,79519,145983,74275,71708,159201,76089,83112,242253,114895,127358,252545,123873,128672,211766,103480,108286,177153,85524,91629,162133,76769,85364,155231,72848,82383,157694,73247,84447,149561,68497,81064,126655,56466,70189,102947,44867,58080,64163,26151,38012,47406,18434,28972,49541,16770,32771,35.8,34.6,37.0
050,36,047,New York,Kings County,2,2718447,1295560,1422887,189342,96496,92846,306474,157717,148757,125579,63879,61700,209011,101580,107431,2159260,1009097,1150163,2097052,977468,1119584,1182967,575082,607885,880332,425859,454473,621003,289398,331605,386706,160631,226075,189342,96496,92846,175516,90245,85271,162913,83708,79205,144951,73829,71122,157684,75394,82290,239562,113437,126125,251973,123491,128482,211698,103431,108267,177099,85500,91599,161124,76220,84904,154613,72515,82098,156531,72640,83891,148735,68023,80712,126077,56100,69977,102855,44718,58137,63655,25836,37819,46468,17907,28561,47651,16070,31581,35.8,34.6,37.0
